,Title,Rating,Review,Date
0,Dishonest and Disgusting,1,"For half an hour, we tried EVERY UBER SERVICE to take a short trip. Uber FALSELY advertised drop-offs by certain times but DID NOT DELIVER ONCE. Finally, we downloded Lyft and immediately got a car that was two minutes away.",29-12-2020 01:14
1,Free offer,2,If I’m not eligible for the offer Stop flooding my email with this false information pouting face pouting face pouting face ,01-01-2021 23:17
2,Inaccurate,2,Consistently inaccurate Uber Eats ETA and the food menus often have errors.,15-01-2021 23:38
3,sea,1,i had my rides canceled back to back. they then still charged my account for a cancellation fee. i tried to get my money back but they only gave me money on the app but i want my money back on my card. i also wasn’t able to get in touch with any help from uber. terrible,08-12-2020 01:01
4,Double charged me for an order,1,"Two of the same orders was added by accident. The restaurant tried to remove the order but couldn't. We both tried reaching uber eats and the restaurant ended up not charging me for the order and told me to put in a claim with uber (which i did).

Months later, Uber charges me and their customer service was very short and didn’t look into the issue as in depth as they should.  I’ve been using Uber for years and this is the last straw.

Will be supporting BAM instead. Another customer lost.",15-12-2020 04:02
5,Not the best,2,Why even offer promotions when no one really wants to pick you up at a very cheap price and end up paying the same or more for a ride that is about 6 minutes away.,05-01-2021 16:55
6,Hate this app,1,I hate this app it canceled my ride and ain’t even give me my money back yall scammers,11-12-2020 22:31
7,In between,3,It’s very good at times but I find that the drivers have gps but always miss turns on pick ups and drops offs so that’s annoying,24-12-2020 21:01
8,No customer support number. Deleting this app now.,1,No customer support. I can’t just call to a representative. This is a horrible service. Will never use or recommend to anyone.,26-12-2020 23:08
9,Terrible,1,Makes it too difficult to make an account. Seemingly impossible to link type of information to any other number or email address. Terrible,21-12-2020 01:48
10,Ridiculous,1,"I hate this app and company. But unfortunately it’s only slightly better than Lyft, so I still use it when in a pinch. I was reported by a driver that I “wasn’t wearing a mask.” Which was false. I work in an IMU with COVID patients. The last thing I would do is risk someone’s safety. Now, I have to submit a picture of myself wearing a mask to get a ride. Ridiculous.",01-01-2021 04:13
11,Trash,1,No matter what the app does what it wants to do and does NOT cooperate. 0/10,11-12-2020 17:50
12,Cant change pick up location,2,"Stupid app wont make me change pick up location , really cant see this on my app, if its possible then make it visible PLEASE!",26-12-2020 23:15
13,Going to Lyft after this,1,"Literally 2 canceled rides back to back never dealt with such unprofessionalism in a long time. I actually laughed till I cried as I watched not 1 BUT 2 of my drivers drive AWAY from my location and claimed to be lost, Never again",06-12-2020 05:47
14,About Pet,3,Half the time that drivers accept a ride with Uber pet they refuse when they pick me and the furry friend up. Seems that they aren’t being notified that pets are joining the ride. Please look into this and see if you can notify the driver so they don’t accept rides with pets if they don’t want them inside their vehicles.,19-12-2020 03:06
15,Terrible Customer Service,1,"Really hard to find a phone number to talk to someone when something goes wrong and then the phone number dose not even work, says they can’t support phone support at this time. Didn’t apply a promo code correctly and then charged me an additional $5 and can’t get it corrected.  FYI 1-866-268-6964",01-12-2020 18:17
